num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;prochaine_question;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
1;2024;La marine française dispose aujourd'hui de 3 Hawkeyes E-2C de la société américaine Northrop Grumman. Ce sont des avions de surveillance dont les ailes sont rétractables, adaptés pour les porte-avions. La flotte française doit être renouvellée en 2030 ou prolongée.;Quel option souhaitez vous choisir ?;hawkeye.jpg;A;Prolongation jusqu'en 2035;51;;;;;;hawkeye_E-2C;launch_programme
1;2024;La marine française dispose aujourd'hui de 3 Hawkeyes E-2C de la société américaine Northrop Grumman. Ce sont des avions de surveillance dont les ailes sont rétractables, adaptés pour les porte-avions. La flotte française doit être renouvellée en 2030 ou prolongée.;Quel option souhaitez vous choisir ?;hawkeye.jpg;B;Achat de Hawkeyes au standard E-2D ;2;;;;;hawkeye_E-2D;hawkeye_E-2D;launch_programme
1;2024;La marine française dispose aujourd'hui de 3 Hawkeyes E-2C de la société américaine Northrop Grumman. Ce sont des avions de surveillance dont les ailes sont rétractables, adaptés pour les porte-avions. La flotte française doit être renouvellée en 2030 ou prolongée.;Quel option souhaitez vous choisir ?;hawkeye.jpg;C;Développement d’un programme Français (Dassault-Thalès) ;3;niveau_techno: 120;niveau_techno:+3;;;Oeil-de-faucon;Oeil-de-faucon;launch_programme
1;2024;La marine française dispose aujourd'hui de 3 Hawkeyes E-2C de la société américaine Northrop Grumman. Ce sont des avions de surveillance dont les ailes sont rétractables, adaptés pour les porte-avions. La flotte française doit être renouvellée en 2030 ou prolongée.;Quel option souhaitez vous choisir ?;hawkeye.jpg;D;Développement d’un programme avec des partenaires européens ;4;"niveau_techno: 110
europeanisation:20";"europeanisation:+10
niveau_techno:+2";;;Auge-de-falco;Auge-de-falco;launch_programme
2;2024;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;A;Oui;0;;;cout:+45;"bonus_terre:+1
bonus_rens:+1
bonus_air:+1
bonus_mer:+1";hawkeye_E-2D;hawkeye_E-2D;
2;2024;Le Hawkeye  E-2D ne convient pas parfaitement à la marine frrançaise. Ses capacités d'interopérabilité OTAN sont  jugées trop faibles. Souhaitez-vous faire une demande d'amélioration (ajout de matériels de communication au standard OTAN) ?;;transpondeur.png;B;Non;0;;;;;hawkeye_E-2D;hawkeye_E-2D;
3;2024;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;A;Achat aux américains de l'avion de base du E-2D et limitation du franco-français au matériel de surveillance;131;niveau_techno: 15;niveau_techno: +15;;;;Oeil-de-faucon;
3;2024;L'avionneur choisi pour le programme n'a jamais réalisé d'avion avec les ailes repliables.;Quel option souhaitez vous choisir ?;ailes.jpg;B;Développement de cette technologie en France.;131;niveau_techno: 120;niveau_techno: +15;duree:+4;;;Oeil-de-faucon;
131;2032;"L'inde souhaite acheter trois avions de surveillance pour son nouveau porte-avion.
Les américains veulent vendre des Hawkeyes E-2D, mais l'Œil-de-faucon ressort favori des tests organisés sur l'aéroport d'Hayderabad.
Le prix de l'œil-de-faucon menace de mener à la perte du contrat. ";Souhaitez-vous réduire le prix à l'export ?;inde_export.jpg;A;À mort le capitalisme! L'important c'est de vendre, on savait dès le départ que ça serait un trou financier. Et puis on va pas se défiller face au Amérloques…;1311;;;;;;;
131;2032;"L'inde souhaite acheter trois avions de surveillance pour son nouveau porte-avion.
Les américains veulent vendre des Hawkeyes E-2D, mais l'Œil-de-faucon ressort favori des tests organisés sur l'aéroport d'Hayderabad.
Le prix de l'œil-de-faucon menace de mener à la perte du contrat. ";Souhaitez-vous réduire le prix à l'export ?;inde_export.jpg;B;Et puis quoi encore ? De toute façon les industriels ne voudront jamais. Un œil-de-faucon ça ne se brade pas !;1312;;;;;;;
1311;2033;"Les indiens achètent finalement aux américains. C'est ce qu'ils avaient prévu depuis le début… avant même les tests. Mais que fait la DGSE ? Personne n'était au courant ? Pour quoi est-ce que l'on passe encore ? 
Non, ne répondez pas.";Amis, passez votre chemin…;Inde-Etats-Unis.jpg;A;Passer pour le dindon de la farce. La DGSE en prend un coup à l'humilité, et met le paquet pour se rattraper.;0;;rens:+10;Oeil-de-faucon;;;Oeil-de-faucon;
1312;2033;Le programme d'export est lancé. Bravo. Vous allez en mettre plein les poches de Patrice Caine !;Comment vous sentez-vous ?;patrice-caine.jpg;A;Très fier.ère.s ! La DGA vous remettra une médaille.;0;rens:20;"budget:+30
europeanisation:+2";;;;;
